Conjunction data for RBSPa and FU3 from Shumko file FU3_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU3 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  7E4  7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2017-12-11/03:03:02 2017-12-11/03:04:40 2017-12-11/03:03:59     4.82     4.81     7.74     7.71   0.03609    0.004    0.028     0.29    28.50   349     0     0    0    0    0   14   41  111    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-11/15:03:23 2017-12-11/15:04:46 2017-12-11/15:04:43     6.16     5.24    10.14    10.95   1.51276    0.920    0.810     2.59    30.05   421     0    23    0    6    1    5  232   18    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-13/20:59:25 2017-12-13/21:01:22 2017-12-13/21:00:24     5.60     5.48    10.25    10.40   0.25299    0.116    0.155    46.51    31.44   349     0   126    0    7    1   19  366   20    0    0    0    0    0    0    0    0    0    0    0    0
2018-02-26/18:46:23 2018-02-26/18:47:41 2018-02-26/18:47:05     5.79     5.79     6.48     6.47   0.02180    0.009    0.013     2.88    28.65   444     0    19    1    7    7    6   14   29    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-01/11:39:03 2018-03-01/11:40:22 2018-03-01/11:39:43     5.01     5.00     8.15     8.91   1.00223    0.015    0.766     0.49    29.47   922   774     0    0    0    0   60    9    8    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-03/09:33:25 2018-03-03/09:35:40 2018-03-03/09:35:03     3.70     4.02     9.50     9.35   0.35460   -0.321    0.148     4.95    29.28   122     0     3    0    0    2   28   32   41    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-04/12:26:19 2018-03-04/12:28:46 2018-03-04/12:28:04     3.58     3.91     9.51     8.85   0.71587   -0.322    0.654     0.29    27.53   111     0     0    0    0    2   35   23   27    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-12/16:47:07 2018-03-12/16:49:15 2018-03-12/16:48:05     4.40     4.16     8.35     7.84   0.61430    0.236    0.507     5.98    30.27   397   593     0    0    0    0   87   10    6    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-13/00:46:37 2018-03-13/00:47:56 2018-03-13/00:47:24     5.65     5.75     7.39     7.75   0.54781   -0.098    0.361     1.04    29.35   325     0     0    0    0    0    6    6    3    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-13/18:09:50 2018-03-13/18:11:15 2018-03-13/18:10:40     5.63     5.65     6.94     6.97   0.04790   -0.020    0.030     0.49    29.31   469   589   178    0    1    2    1    4   31    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-17/20:21:08 2018-03-17/20:22:17 2018-03-17/20:21:48     5.93     6.02     6.58     6.75   0.27301   -0.093    0.164     4.30    29.92   421   594    23    1   32    2    3  216   11    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-19/00:50:18 2018-03-19/00:51:41 2018-03-19/00:51:04     4.98     4.99     7.97     8.03   0.08801   -0.015    0.066    36.94    30.44   337   597    71    2   13   42    8  316   69    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-26/03:47:01 2018-03-26/03:49:34 2018-03-26/03:48:38     3.65     3.65     8.99     9.06   0.06888   -0.005    0.072    13.39    31.64   230   298    23    1   12   21   66   32   52    0    0    0    0    0    0    0    0    0    0    0    0
2018-04-20/21:12:13 2018-04-20/21:14:28 2018-04-20/21:13:46     3.97     4.10     7.64     8.05   0.45140   -0.136    0.408    25.75    28.20   242     0    43    0    0    0    0    0    0    0    0    0    1    4    5   69  158  129  366  352  197
2018-04-23/20:26:56 2018-04-23/20:28:46 2018-04-23/20:28:16     4.53     4.84     6.99     7.83   1.07321   -0.309    0.840    24.94    29.07   314  1692    11    0    0    0    0    0    0    0    0    0    3    1    0   49   75   73  216   88   18
2018-05-03/22:38:07 2018-05-03/22:40:15 2018-05-03/22:39:39     3.76     3.95     7.43     8.53   1.11953   -0.190    1.098     1.23    26.36   230     0    39    0    0    0    0    0    0    0    0    0    0    0    1   28   33   43   49   41   34
2018-07-06/11:08:56 2018-07-06/11:10:28 2018-07-06/11:09:39     4.18     4.14    23.59    22.91   0.74113    0.040    0.680     3.66    28.14   277     0     3    0    0    0    0    0    0    0    0    0    0    0    0   42   60   42   23   14   27
2018-07-15/10:23:50 2018-07-15/10:25:03 2018-07-15/10:24:35     4.65     4.55    23.86    23.00   1.04670    0.108    0.867     1.81    27.52   302     0     0    0    0    0    0    0    0    0    0    0    0    0    0   14   13   16   18   15   15
2018-08-04/04:11:13 2018-08-04/04:13:46 2018-08-04/04:12:34     3.74     3.72    22.40    22.32   0.08221    0.022    0.081    13.36    28.31   266     0     0    0    0    0    0    0    0    0    0    0    0    0    3    9    9   16   22   44   44
2018-08-06/10:59:42 2018-08-06/11:00:41 2018-08-06/11:00:10     5.17     5.16    23.65    23.36   0.38738    0.006    0.287     0.16    30.29   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0    3    4   10   31   23   47
2018-08-07/17:02:23 2018-08-07/17:02:57 2018-08-07/17:02:48     5.68     5.68     1.96     0.86   1.62766    0.001    1.099     0.55    28.73   373   650     7    0    0    0    0    0    0    0    0    0    1    4    3    2    1    5   19   19   21
