date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2019-03-17/00:41:11      5.9     16.8    1.040    0.546    0.602    76    -1   349     0     3    0    0    0    0    0    0    0    0    0    0    0    0   34   25    5    4    3    7
2019-03-17/02:18:09      5.1     18.1    1.440   -0.351    1.007    66    -1   373     0     0    0    0    0    0    0    0    1    0    0    0    0    0    4    2    2    1    1    3
2019-03-17/07:07:39      4.6     15.0    0.912    0.222    0.748    73    -1   421     0    39    0    0    0    0    0    0    0    1    0    0    0    0   99  108  191  208  209   29
2019-03-17/08:41:45      5.7     16.2    1.125   -0.028    0.749    48    -1   433     0     3    0    0    0    0    0    0    1    0    0    0    0    0  113  108  191  208  209   29
2019-03-17/15:30:05      4.1     14.4    0.290    0.001    0.270    71    -1   325     0   154    0    0    0    0    0    0    0    0    0    1    0    2  132  142  106   79   22   17
2019-03-17/16:30:48      5.2     15.4    0.441   -0.012    0.325    77    -1   444     0     3    0    0    0    0    0    0    0    0    0    0    0    0   47  104  191  224   68   17
2019-03-17/18:03:50      5.8     16.5    1.297   -0.108    0.842    78    -1   469     0     0    0    0    0    0    0    0    0    0    0    0    0    0   36   83  191  224   52    6
2019-03-29/12:13:07      5.4     15.3    0.727    0.056    0.516    17    -1   360  4284     0    0    0    0    0    0    0    0    0    0    0    0    0   38   25    9    2    2    4
2019-03-30/06:40:47      5.8     15.9    0.639    0.147    0.414    77    -1   421  2324     0    0    0    0    0    0    0    0    0    0    0    0    0   34   52   73  108   35    7
2019-03-31/07:59:45      5.2     14.9    1.255    0.306    0.931     9    -1   894     0     0    0    0    0    0    0    0    0    0    0    0    0    0   51   43   25   11    9   13
2019-04-01/04:31:14      5.6     17.0    0.092   -0.028    0.060    78    -1   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0  168  100   75   95   55   10
2019-04-03/07:09:29      5.5     15.2    1.414    0.418    0.977    35    -1   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   69   75   50   45   14    5
2019-04-03/15:00:26      5.1     14.8    0.219   -0.005    0.163    79    -1   481     0    15    0    0    0    0    0    0    0    0    0    0    0    0  132  175  146  149   49    6
2019-04-03/15:33:26      5.1     14.8    0.219   -0.005    0.163    79    -1   540     0    15    0    0    0    0    0    0    0    0    0    0    0    0  132  175  146  149   49    6
2019-04-04/03:40:29      5.3     17.3    0.080   -0.031    0.053    31    -1   445     0     0    0    0    0    0    0    0    0    0    0    0    0    0  106   83   61   32   11    4
2019-04-04/08:58:14      4.9     14.5    0.381    0.062    0.293    16    -1   910     0     0    0    0    0    0    0    0    0    0    0    0    0    0   19   37   44   17    3    3
2019-04-04/17:51:14      5.5     15.0    0.866    0.191    0.601    42    -1   349     0   134    0    0    0    0    0    0    0    0    0    0    0    0  176  167   64  141   71   19
2019-04-04/18:25:04      5.5     15.0    0.866    0.191    0.601    42    -1   399   189   114    0    0    0    0    0    0    0    0    0    0    0    0  176  167   64  141   71   19
2019-04-05/19:41:51      4.4     13.8    0.508   -0.078    0.428    45    -1   314  6931     0    0    0    0    0    0    0    0    0    0    0    0    0  132  125   78   60   30    4
2019-04-06/07:54:11      5.9     16.6    0.720   -0.075    0.460    64    -1   375     0     0    0    0    0    0    0    0    0    0    0    0    0    0    4    4   21   27   11   14
2019-04-07/09:12:16      5.9     15.6    0.191    0.026    0.123    68    -1   360     0    47    0    0    0    0    0    0    0    0    0    0    0    0   55  150  174  116   35   13
2019-04-07/16:00:59      4.4     13.9    1.240    0.121    1.081    26    -1   290     0     0    0    0    0    0    0    0    0    0    0    0    0    0   95   71   56   37    7    3
